tensorlab-gpu tucker  iter=10
10  1.95192e-07  389.643443s
20  0.00120231  1.359258s
30  0.150721  0.412958s
40  0.0123852  0.687108s
50  0.124603  1.167531s
60  0.118347  1.844413s
70  0.0636195  2.637783s
80  0.0682357  3.579483s
90  0.112344  5.481406s
100  0.0982977  7.142779s
10  1.86456e-07  0.116030s
20  0.0165775  0.213960s
30  0.0113228  0.449755s
40  0.140214  0.716777s
50  0.0303699  1.162321s
60  0.109387  1.878979s
70  0.117185  2.738491s
80  0.0977525  3.686264s
90  0.0913531  5.440410s
100  0.0780399  7.159021s

20  0.00367835  306.499250s
40  0.0118593  0.436081s
60  0.0930914  1.257362s
80  0.0593085  2.906621s
100  0.0850834  5.945406s
120  0.0678186  10.357392s
140  0.0925239  17.966609s
160  0.0801884  28.347122s
180  0.0768184  38.939990s

20  0.00317909  0.107795s
40  0.109711  0.444323s
60  0.113549  1.249942s
80  0.0894657  2.886795s
100  0.0670451  5.968190s
120  0.0546658  10.440291s
140  0.0754148  17.144457s
160  0.0784471  26.503419s
180  0.062347  37.228626s
20  0.0242314  0.116012s
40  0.106427  0.450984s
60  0.0651568  1.252146s
80  0.0864578  2.892570s
100  0.0920387  5.995085s
120  0.0814975  10.412154s
140  0.0745334  17.011872s
160  0.0893147  26.405901s
180  0.0828919  37.545688s
