
ours  iter = 500
160   1.14016s
320   2.06243s
480   3.98747s
640   8.49737s
800   23.421s
960   36.8153s
1120   133.929s
1280   243.778s

160   1.06387s
320   2.00046s
480   4.00086s
640   8.64993s
800   23.7042s
960   37.1551s
1120   136.654s
1280   251.849s

160   1.01139s
320   1.51855s
480   3.51658s
640   8.11985s
800   23.3032s
960   36.4543s
1120   147.876s
1280   259.849s
160   0.869312s
320   1.52839s
480   3.54516s
640   8.03519s
800   22.9375s
960   37.3931s
1120   159.382s
1280   258.605s
160   0.864162s
320   1.50709s
480   3.46382s
640   7.91609s
800   22.6246s
160   0.864602s
960   35.7679s
160   0.863286s
1120   96.4884s
160   0.853831s
1280   169.441s
160   0.864487s
320   1.5161s
480   3.51005s
640   7.92747s
800   22.9658s
960   56.2087s

ours  iter = 10
160   0.372015s
320   0.054649s
480   0.13105s
640   0.290415s
800   0.707472s
960   1.1627s
1120   2.32228s
1280   3.23021s

160   0.361612s
320   0.044287s
480   0.169691s
640   0.352727s
800   0.838775s
960   1.41633s
1120   2.71881s
1280   3.8462s

160   0.02164s
320   0.055009s
480   0.137397s
640   0.291808s
800   0.700781s
960   1.15931s
1120   2.30876s
1280   3.273s
160   0.021559s
160   0.843731s
320   1.50635s
480   3.4997s
640   7.9363s
800   22.7457s
960   38.802s
1120   170.603s
1280   288.858s
