unoptimized cp 
50*50*  19.5726s
100*100*  18.787s
150*150*  18.7128s
200*200*  18.6596s
250*250*  18.7648s
300*300*  19.0317s
350*350*  19.2426s
400*400*  19.646s
450*450*  20.1256s
500*500*  20.6613s
550*550*  21.5376s
600*600*  22.3634s
650*650*  23.6349s
700*700*  24.864s
750*750*  26.5167s
800*800*  28.2291s
850*850*  30.9205s
900*900*  33.123s
950*950*  36.0885s
1000*1000*  39.4029s

160*160*160  1028.88s
cp decomposition 10 
160*160*160  19.8401s
320*320*320  21.5935s
480*480*480  23.5858s
640*640*640  27.9314s
800*800*800  34.9133s
960*960*960  45.7562s
160*160*160  21.4991s
160*160*160  20.8788s
160*160*160  0.9206s
320*320*320  0.250594s
480*480*480  0.524835s
640*640*640  0.984064s
800*800*800  2.16867s
960*960*960  3.21412s
160*160*160  0.915714s
320*320*320  0.253104s
480*480*480  0.551393s
640*640*640  1.16938s
800*800*800  2.28874s

160*160*160  0.101245s
320*320*320  0.251074s
480*480*480  0.527311s
640*640*640  1.05781s
800*800*800  2.08335s
960*960*960  3.93361s
