unoptimized tucker hosvd

50*50  0.861697s
100*100  0.037217s
150*150  0.073358s
200*200  0.145582s
250*250  0.261516s
300*300  0.433828s
350*350  0.674745s
400*400  0.972847s
450*450  1.40174s
500*500  1.86889s
550*550  2.51283s
600*600  3.19199s
650*650  4.08792s
700*700  5.32263s
750*750  6.61435s
800*800  7.87319s
850*850  9.21837s
900*900  11.4157s
950*950  13.9813s
1000*1000  15.4487s

160*160*160  1.07142s
320*320*320  0.572879s
480*480*480  1.83311s
640*640*640  4.23269s
800*800*800  8.03166s
960*960*960  14.0079s
160*160*160  0.950775s
320*320*320  0.581005s
480*480*480  1.87689s
640*640*640  4.1873s
800*800*800  7.9553s
960*960*960  14.1399s
140*140*140  1.01226s
150*150*150  0.081079s
140*140*140  0.929544s
150*150*150  0.078098s
160*160*160  0.065906s
170*170*170  0.091547s
140*140*140  0.905096s
150*150*150  0.07733s
160*160*160  0.065751s
170*170*170  0.096801s
